goodsNo,goodsName,category,function,formulation,price,pricerange,volume,ingredients,purchase_link,image_link,memberNo,skintype,skintone,skinconcern,review,rating,date,rank
A000000213267,스킨앤랩 베리어덤 링거 앰플,에센스/세럼/엠플,수분,가벼운 제형,28000,2-3,70ml*2ea,"정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 락토바실러스발효용해물, 판테놀, 글라이코실트레할로오스, 글루코오스, 부틸렌글라이콜, 하이드로제네이티드스타치하이드롤리세이트, 프룩토올리고사카라이드, 프룩토오스, 폴리쿼터늄-51, 글리세릴글루코사이드, 사카라이드아이소머레이트, 에틸헥실글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 하이드록시프로필트라이모늄하이알루로네이트, 트로메타민, 덱스트린, 소듐파이테이트, 소듐클로라이드, 베타-글루칸, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 사이아노코발아민, 시트릭애씨드, 소듐시트레이트, 소듐바이카보네이트, 칼슘클로라이드, 포타슘크로라이드, 토코페롤, 잔탄검, 치자추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213267&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021326704ko.jpg?l=ko,M0000015960415,트러블성,여름쿨톤,각질 다크서클 모공 미백 민감성 블랙헤드 잡티 주름 탄력 트러블 피지과다,링거앰플 사용한지 몇달 된거같아요 매일 아침저녁에 세안 후 바로 12번 짜서 듬뿍 발라줘요 여름에는 이것만 발라도 됐는데 겨울이니 23번은 짜서 발라준답니다 가볍고 사용하기 편한 물 같은 제형인데도 바르면 피부가 쫀쫀해지고 좋더라구요 무거운 제형의 화장품 싫어하면 이거 좋아요,10.0,2024.11.19,18.0
A000000213267,스킨앤랩 베리어덤 링거 앰플,에센스/세럼/엠플,수분,가벼운 제형,28000,2-3,70ml*2ea,"정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 락토바실러스발효용해물, 판테놀, 글라이코실트레할로오스, 글루코오스, 부틸렌글라이콜, 하이드로제네이티드스타치하이드롤리세이트, 프룩토올리고사카라이드, 프룩토오스, 폴리쿼터늄-51, 글리세릴글루코사이드, 사카라이드아이소머레이트, 에틸헥실글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 하이드록시프로필트라이모늄하이알루로네이트, 트로메타민, 덱스트린, 소듐파이테이트, 소듐클로라이드, 베타-글루칸, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 사이아노코발아민, 시트릭애씨드, 소듐시트레이트, 소듐바이카보네이트, 칼슘클로라이드, 포타슘크로라이드, 토코페롤, 잔탄검, 치자추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213267&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021326704ko.jpg?l=ko,M0000002164828,트러블성,가을웜톤,모공 주름 탄력 트러블,워터리하고 순한 앰플입니다피부 자극 없이 산뜻하게 발리는 제형입니다세안 후 발라봤는데 스킨마냥 순하게 발리더라구요게다가 화장품 특유의 향이 없어서 더 바르기 좋았고 마음에 들어요끈적함이 싫어지는 계절인데 산뜻하게 발리니 여름에 사용하기에 더더욱 좋은 제품같습니다흡수력도 좋아서 데일리로 매일매일 바를것 같아요예쁜 병에 보라보라한 디자인이라 더 마음에 들어용,10.0,2024.07.24,18.0
A000000206077,스킨앤랩 베리어덤 링거 앰플,에센스/세럼/엠플,수분,가벼운 제형,18200,2이하,70ml,"정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 락토바실러스발효용해물, 판테놀, 글라이코실트레할로오스, 글루코오스, 부틸렌글라이콜, 하이드로제네이티드스타치하이드롤리세이트, 프룩토올리고사카라이드, 프룩토오스, 폴리쿼터늄-51, 글리세릴글루코사이드, 사카라이드아이소머레이트, 에틸헥실글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알란토인, 하이드록시프로필트라이모늄하이알루로네이트, 트로메타민, 덱스트린, 소듐파이테이트, 소듐클로라이드, 베타-글루칸, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 사이아노코발아민, 시트릭애씨드, 소듐시트레이트, 소듐바이카보네이트, 칼슘클로라이드, 포타슘크로라이드, 토코페롤, 잔탄검, 치자추출물",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206077&dispCatNo=100000100010014&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020607710ko.jpg?l=ko,M0000003584745,건성,웜톤,민감성 잡티 주름 탄력 트러블,제 피부는 건성에 민감형이라서 속은 완전 건조하고 그래서 막 화장품 이것저것 바르면 트러블 잘 나는 그런 피부에요ㅠㅠ 그래서 화장품 고를 때 순한걸로 골라 사는 편입니당 일단 요 제품도 써보니까 트러블 안나고 착 발림성 좋아서 만족해요 흡수 아주 잘 되고 보습력도 좋다고 느껴요  한번 바르고 또 한번 발라주면 뭔가 이중으로 보습되는 느낌입니당,10.0,2024.07.16,101.0
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,크림,수분,가벼운 제형,29500,2-3,100ml,"해수, 메틸프로판다이올, 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 나이아신아마이드, 다이카프릴릴에터, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 폴리글리세릴-3 메틸글루코오스다이스테아레이트, 아이소스테아릴알코올, 부틸렌글라이콜코코에이트, 글리세릴스테아레이트, 다시마추출물, 한련초잎추출물, 꿀풀추출물, 블래더랙추출물, 슈도알테로모나스발효추출물, 하이드로제네이티드레시틴, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 초유, 에틸셀룰로오스, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 이노시톨, 프룩탄, 살리실릭애씨드, 소듐살리실레이트, 시트릭애씨드,에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192300&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=33,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019230003ko.jpg?l=ko,M0000003819757,민감성,웜톤,모공 민감성 아토피 탄력 트러블,몰바니 프로틴 크림이 너무 궁금해서 신청해봤는데 기대 이상으로 너무 마음에 들어요안티에이징 화장품 라인이나 건성 피부이신 분들에게 특히나 좋다는 제품들은 대부분 꾸덕하거나 유분감이 도는 느낌이 많은데 이건 그런 편견을 깨버린 느낌이더라구요산뜻촉촉한 제형이고 발림성이 굉장히 좋아요 피부에 수분 보호막을 씌운 느낌이에요 전체적으로 얼굴에 다 발라줬는데도 답답함 없답니당보습감이 정말 좋고 오래 가서 놀랐던 제품이에요저는 민감피부인데 자극도 없어서 너무 만족스러웠어요20대 중반에 들어서면서 알게모르게 미세한 팔자주름 때문에 관리가 필요하다 생각했는데 너무 과하지 않고 데일리로 쓰기 딱 좋아서 굿굿튜브형이라 사용하기 편하고 위생적이에요특정한 피부타입이 써야한다 이게 아니고 산뜻하고 부담없이 안티에이징 데일리 케어가 필요하신 분들 추천드립니다,10.0,2023.12.17,657.0
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,크림,수분,가벼운 제형,29500,2-3,100ml,"해수, 메틸프로판다이올, 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 나이아신아마이드, 다이카프릴릴에터, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 폴리글리세릴-3 메틸글루코오스다이스테아레이트, 아이소스테아릴알코올, 부틸렌글라이콜코코에이트, 글리세릴스테아레이트, 다시마추출물, 한련초잎추출물, 꿀풀추출물, 블래더랙추출물, 슈도알테로모나스발효추출물, 하이드로제네이티드레시틴, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 초유, 에틸셀룰로오스, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 이노시톨, 프룩탄, 살리실릭애씨드, 소듐살리실레이트, 시트릭애씨드,에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192300&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=33,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019230003ko.jpg?l=ko,M0000018686419,트러블성,쿨톤,각질 트러블 홍조,기초제품은 이것저것 많이 써보는 중인데 처음보는 브랜드라 반신반의하며 신청해봤어요모델이미지가 좋아서 믿음이 가는 느낌프로틴크림은 처음이라 궁금하기도 하고 유분기 많으면 어쩌나 걱정도 했는데 생각보다 기름지지 않아서 좋았어요수분크림처럼 너무 헤비하지 않게  흡수되고 촉촉해요화해 검색해보니 성분도 좋고  무향이라 마음에 듭니다,10.0,2023.12.16,657.0
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,크림,수분,가벼운 제형,29500,2-3,100ml,"해수, 메틸프로판다이올, 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 나이아신아마이드, 다이카프릴릴에터, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 폴리글리세릴-3 메틸글루코오스다이스테아레이트, 아이소스테아릴알코올, 부틸렌글라이콜코코에이트, 글리세릴스테아레이트, 다시마추출물, 한련초잎추출물, 꿀풀추출물, 블래더랙추출물, 슈도알테로모나스발효추출물, 하이드로제네이티드레시틴, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 초유, 에틸셀룰로오스, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 이노시톨, 프룩탄, 살리실릭애씨드, 소듐살리실레이트, 시트릭애씨드,에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192300&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=33,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019230003ko.jpg?l=ko,M0000001405809,건성,봄웜톤,각질 다크서클 모공 미백 민감성 블랙헤드 아토피 잡티 주름 탄력 트러블 피지과다 홍조,단백질이 들어가서 좋네요 보습력이 높고 쫀쫀합니다 꾸준히 써보고 내돈내산할지 고민해볼법합니다 양도 좋고 좋네요,10.0,2023.12.15,657.0
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,크림,수분,가벼운 제형,29500,2-3,100ml,"해수, 메틸프로판다이올, 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 나이아신아마이드, 다이카프릴릴에터, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 폴리글리세릴-3 메틸글루코오스다이스테아레이트, 아이소스테아릴알코올, 부틸렌글라이콜코코에이트, 글리세릴스테아레이트, 다시마추출물, 한련초잎추출물, 꿀풀추출물, 블래더랙추출물, 슈도알테로모나스발효추출물, 하이드로제네이티드레시틴, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 초유, 에틸셀룰로오스, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 이노시톨, 프룩탄, 살리실릭애씨드, 소듐살리실레이트, 시트릭애씨드,에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192300&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=33,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019230003ko.jpg?l=ko,M0000017189631,민감성,쿨톤,모공 블랙헤드 잡티 트러블,피부보습에좋아용ㅎㅎ 순하게 보습잘잡아주는것같아용ㅎ,10.0,2023.12.24,657.0
A000000192300,몰바니 볼륨 인크리징 프로틴 크림,크림,수분,가벼운 제형,29500,2-3,100ml,"해수, 메틸프로판다이올, 글리세린, 페닐트라이메티콘, 1,2-헥산다이올, 나이아신아마이드, 다이카프릴릴에터, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 폴리글리세릴-3 메틸글루코오스다이스테아레이트, 아이소스테아릴알코올, 부틸렌글라이콜코코에이트, 글리세릴스테아레이트, 다시마추출물, 한련초잎추출물, 꿀풀추출물, 블래더랙추출물, 슈도알테로모나스발효추출물, 하이드로제네이티드레시틴, 정제수, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10라우레이트, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 잔탄검, 초유, 에틸셀룰로오스, 아데노신, 프룩토올리고사카라이드, 베타-글루칸, 하이드롤라이즈드하이알루로닉애씨드, 이노시톨, 프룩탄, 살리실릭애씨드, 소듐살리실레이트, 시트릭애씨드,에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192300&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=33,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019230003ko.jpg?l=ko,M0000015170184,지성,웜톤,미백 잡티,양도 되게 많고 발림성도 되게 좋습니다 바르다 보면 얼굴에 붕뜨는 크림도 있는데 이건 흡수력도 좋았고 촉촉함이 오래 가서 저녁에 바르고 자도 저녁 건조 하지 않았어요,10.0,2023.12.24,657.0
A000000179255,센텔리안24 마데카 데일리 리페어 토너,스킨/토너,수분,가벼운 제형,30000,2-3,토너 150ml+50ml,"락토바실러스/병풀추출발효여과물, 병풀추출물, 글리세린, 정제수, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세레스-26, 다이페닐다이메티콘, 쇠비름추출물, 트라이에틸헥사노인, 병풀잎추출물, 무화과추출물, 매실추출물, 사과추출물, 파파야열매추출물, 포도추출물, 돌콩추출물, 하이드로제네이티드레시틴, 올리브오일, 병풀오일, 폴리글리세릴-10미리스테이트, 카보머, 트로메타민, 베타-글루칸, 글리세릴폴리메타크릴레이트, 아데노신, 다이소듐이디티에이, 에톡시다이글라이콜, 옥틸도데칸올, 마데카식애씨드, 아시아티코사이드, 글라이코리피드, C12-13파레스-9, 병풀아미노산, 아시아틱애씨드, 하이드롤라이즈드병풀단백질, 세라마이드엔피, 프로테아제, 베툴린, 프로판다이올, 알지닌, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 테트라하이드로피페린, 플로레틴, 1,2-헥산다이올, 피토스핑고신, 에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179255&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017925507ko.jpg?l=ko,M0000003405604,지성,봄웜톤,모공 미백 민감성 트러블 피지과다 홍조,외부 자극에 취약한 민감피부에 너무 추천합니당기본적으로 지성피부이긴 하지만 너무 예민하고 수분도 부족한 편이라 잘 맞는 화장품 고르기가 꽤나 어려운 편인데요센텔리안 리페어 토너는 자극도 전혀 없고 토너임에도 수분감이 충분해서 당김없이 산뜻하게 흡수되고 넘 만족합니당,10.0,2023.02.28,216.0
A000000179255,센텔리안24 마데카 데일리 리페어 토너,스킨/토너,수분,가벼운 제형,30000,2-3,토너 150ml+50ml,"락토바실러스/병풀추출발효여과물, 병풀추출물, 글리세린, 정제수, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 글리세레스-26, 다이페닐다이메티콘, 쇠비름추출물, 트라이에틸헥사노인, 병풀잎추출물, 무화과추출물, 매실추출물, 사과추출물, 파파야열매추출물, 포도추출물, 돌콩추출물, 하이드로제네이티드레시틴, 올리브오일, 병풀오일, 폴리글리세릴-10미리스테이트, 카보머, 트로메타민, 베타-글루칸, 글리세릴폴리메타크릴레이트, 아데노신, 다이소듐이디티에이, 에톡시다이글라이콜, 옥틸도데칸올, 마데카식애씨드, 아시아티코사이드, 글라이코리피드, C12-13파레스-9, 병풀아미노산, 아시아틱애씨드, 하이드롤라이즈드병풀단백질, 세라마이드엔피, 프로테아제, 베툴린, 프로판다이올, 알지닌, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 테트라하이드로피페린, 플로레틴, 1,2-헥산다이올, 피토스핑고신, 에틸헥실글리세린",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179255&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017925507ko.jpg?l=ko,M0000012325515,복합성,웜톤,모공 미백 민감성 블랙헤드 잡티 주름 트러블 피지과다 홍조,센텔리안24  이제품이 나온지는 오래되었어요올리브영 입점전부터  수년전에 스킨 젤크림 마스크팩  수부지 여드름피부라 한때 열심히 썼었어요성분이 일단합격제일 싫어하는 발림성좋고 촉촉함오래 유지하려고넣는  쓰레기 성분 피이지 피피지 쉐어버터 또는 쉬어버터ㅡ이성분만 들어가면 여드름 남이성분들 빠진제품들 찾아서 쓰면서 피부도 좋아지고 여드름도 안나고요아직도 싸게 만들려고 기초에 이런성분 넣는제품들 많쵸ㅡ요샌  마스크팩에도 안넣어요마스크팩도 자주하는데 주의성분하나라도 들어가면안사요이스킨은 촉촉하고 피부결 병풀성분그리고 마데카 성분에 병풀단백질 ㅡ요성분이좋아요 고보습 트러블 민감피부에 좋은성분입니다스킨한번에 만족못하는분들에게 모든피부추천하고이50미리 미니용량이  휴대할수있어서 저는 손에도 안늙으려고 스킨 에센스 로션 크림다 바르거든요휴대하기좋고팁샤워후 로션바르는게  너무 귀찬거든요손발 무릎 팔꿈치만  바르는데바디스킨으로 아주 좋을듯 합니다제형도 촉촉한 크림같이 잘스며들고여름철에 잘쓰일듯해요추천피부악건성은 무조건추천트러블 여드름  민감피부 추천딱히 나쁜성분이 없어서 흠잡을게 없습니다피부결 미백 잡티개선 보습 진정에 좋은성분만 들어가  있어요향료안들어가서  아주 만족합니다센텔리안24세럼쓰고있는데  같이쓰니 그냥얼굴이 탱글탱글해지네요결론 오랜만에 흠잡을거 없는 성분을 보게되서추천입니다,8.0,2023.02.23,216.0
