product_name,category,price,product_url,img_link,memberNo,skintype,skinton,skinconcerns,goodsNo,gdasContent,gdasValue,date
[11월 올영픽/토너 250ml증정]바이오더마 하이드라비오 토너 500ml 기획(+토너 250ml 증정),스킨/토너,"26,900",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188933&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018893309ko.jpg?l=ko,M0000000866979,['민감성'],['쿨톤'],"['모공', '민감성', '트러블']",A000000188933,지성피부라 강경 닦토파입니다.항상 세일 품목인 대용량 토너를 주로 사용해요. 이번 블프에 바이이오더마 하이드라비오 토너 기획을 발견하고 얼른 구매했어요.거기다 가격할인도 들어가니 너무 좋더라구요.끈적임 없는 물제형이지만 촉촉함도 있습니다.지성피부님들 추천합니다.,10,2024.11.06
[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),스킨/토너,"15,700",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170266&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017026608ko.jpg?l=ko,M0000002407835,['복합성'],['겨울쿨톤'],"['민감성', '잡티', '주름', '탄력', '트러블']",A000000170266,항상쓰던그레이멜*대용량토너가떨어져재구매하려보니품절이라예전에토리든히알루론산토너피부에잘맞았던게생각나급하게오늘드림구매했어요.날씨가여름막바지라땀은나지만피부가거칠고건조한데끈적이지않는산뜻하고촉촉한수분감과닦토할때자극적이지않게피부결정돈이돼좋아요^^ 무향에약산성으로순하게쓸수있단점도맘에들어요.기획제품으로추가증정까지받아알차게잘산거같아요ㅎㅎ,10,2024.09.14
[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),스킨/토너,"26,400",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211001&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021100109ko.jpg?l=ko,M0000024990554,[],[],[],A000000211001,"사실...석삼오라버니 때문에 구매했는데,..너무좋아요...<br/>포토북 말할 것도 없이 흰색 셔츠 느좋...💜 얼굴...<br/>WWH....좋음.....입술..피부.....미남.......<br/>(정신차리고) 일단 같이 동봉되어 온 스프레이 분사형 뚜껑으로 바꾸어서 사용 중인데 나올 때는 진짜 미스트처럼 액체로! 아예 그냥 물처럼 나오거덩여? <br/>근데 이게 막 바르다보면 로션 바르는것처럼 부드럽게 바뀌어요...그렇다고 미끌,찐득 거리는게 아니고 딱 4번 분사했는데 온 얼굴이 촉촉함...일부러 며칠 써보고 리뷰 작성하는건데...너무 좋아효...이게 너무 웃긴게 흡수력도 개쩔어요...왼 뺨 오른 뺨에 각각 뿌려놓고 오른뺨 바르고 나니까 왼 뺨에 뿌려뒀던게 다 흡수됨...<br/>석라버니 아니었으면 이 개꿀제품을 모르고 살뻔..;;<br/>피부도 민감성이라(평소에 썬크림도 제대로 &#34;못&#34;바름..)동생(역시 아미임) 실험체로 쓰고 손에도 해보고 마침내 얼굴에 사용했는데 너무...좋음....쓰고도 피부 발작 안난게 너무 기특해서 크림스킨 냅다 복복해주고 싶음....원래도 피부 지R쇼 방지 차원에서 여러번의 실험을 거친 뒤 단일제품만 사용했는데(이전에는 스킨 딱 하나만 씀) 이건...미스트도 되고 동시에 크림도 되니깐...아니..라네즈 연구진분들..도대체 뭘 만드신건지....이건..혁명?임,...;;; 개큰 재구매 의사가 생김..... 그리고 구성품 자체가 되게 고급짐,.원래 쓰던건 우리집 고양이가 한 번 떨구고서는 먹통이슈때문에 쓸 때마다 뚜껑 분리후에 털털 털어썼는데...크림스킨은 스무스하게 꾹 꾹 눌림..<br/>리필도 주심... 향은 무향!(동생은 무향인게 너무 좋았대용)<br/>아 그리고 보습 지속력....🤦‍♀️ 시험기간이라 퍼석 피부 개난리쇼 났는데 이게 솔직히 되게 가벼운 제형이라 금방 건조해질 줄 알았는데/ 1시간 후: 음 곧 마르겠군,2시간 후: 음 곧 마르겠군/  영원히 이것을 반복함..그 끈적하지 않은 보들보들 선 안에서 영원히 마르지 않음...이것 뭐에요 진짜....<br/>이런 개꿀 느좋 제품을 알게 해주신 오라버니께 일단 큰절, 열심히 개발해서 혁명템 개발 해주신 라네즈 연구진 분들께 큰절🙇‍♀️ 그리고 이정도 구성인데 너무 착한 가격이심...<br/>고딩 소녀 용돈 지킴이가되<br/>아 그리고 라네즈의 이 사소한 센스..어쩔거임...!!!<br/>Easy peel이 있음 화장품에!!! 평소에 그렇게 막 환경 지킴이도 내가 다 감동받음..ㅠ<br/>모쪼록 좋은 제품 감사합니다..💜",10,2024.10.06
[스누피키링증정] 아누아 어성초 77 깐달걀 토너 500ml 스누피 한정 기획세트,스킨/토너,"30,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207886&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020788606ko.jpg?l=ko,M0000020866555,['복합성'],['여름쿨톤'],"['각질', '다크서클', '모공', '블랙헤드', '트러블', '피지과다']",A000000207886,"진정에 좋은 토너라고 해서 구매한 제품인데, 어느새 그냥저냥 수분 넣어주는 토너로 사용 중입니다. 얼굴에 뭐 안 나고, 무난한게 사용할 수 있는 토너 찾는다면 이 친구네요. 참고로 진정에는 효과를 전혀 못 봤습니다. <br/><br/>제형이 주르륵 흐르는 물토너 그 자체고, 건성분들한테는 너무 가벼워서 계속 덧발라야 하는 고충이 있겠군요.. 하지만 지성분들은 좋아하실 가벼운 제형이라 수분감 채워주는 친구 추천! <br/><br/>유일한 단점? 이라 하면 가격이 아주 사-악 합니다.. 무서워요. 사실 단점이라 하기에도 뭐한게 이거 한 번 사면 토너가 안 줄어요. 처음엔 스누피 그려져 있어서 살살 썼는데 안 사라지니깐 그냥 얼굴에 토너를 적십니다. 그래야 유통기한 전까지 다 사용할 수 있거든요..",8,2024.11.01
[1등토너] 라운드랩 1025 독도 토너 500ml 대용량 기획 (+100ml 증정),스킨/토너,"27,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137180&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013718035ko.jpg?l=ko,M0000017429652,['복합성'],['웜톤'],"['모공', '트러블']",A000000137180,꾸준히 쓰고 있는 토너예요 시원함과 편안함이 마음에 들어요,10,2024.09.23
[단독기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),스킨/토너,"21,750",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180474&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018047407ko.jpg?l=ko,M0000004525407,['복합성'],['쿨톤'],"['각질', '모공', '블랙헤드', '트러블', '피지과다']",A000000180474,끈적임없고 대용량이라 좋네요! 같이 온 화장솜도 너므 좋아요 ㅎㅎ~!!,10,2024.11.08
[속보습] 더랩바이블랑두 저분자 히알루론산 딥 토너 200ml + 50ml 기획,스킨/토너,"15,990",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189488&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018948815ko.jpg?l=ko,M0000023506768,['복합성'],[],[],A000000189488,순하고 엄청 흐르지도 않는 제형이라 여러번 레이어링 하기도 편함,10,2024.11.09
[맑눈광PICK/단독기획] 웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),스킨/토너,"19,600",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188874&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018887429ko.jpg?l=ko,M0000022385947,,,,A000000188874,오빠 선물로 사줘ㅛ는데 화장솜도 같이 주고 좋네용<br/>오빠가 잘 쓴데요,10,2024.10.26
[화해1위/디렉터파이TOP] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+젤크림 30ml),스킨/토너,"17,100",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213171&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021317149ko.jpg?l=ko,M0000003455195,['민감성'],['봄웜톤'],"['다크서클', '잡티', '주름', '트러블']",A000000213171,순하게 사용하기 좋아요 촐촉해요 무향이라 좋아여 끈적이지않어요,10,2024.10.11
[모공개선/탄력광채] 넘버즈인 3번 결광가득 에센스 토너 300ml 대용량 기획,스킨/토너,"22,400",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173589&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017358912ko.jpg?l=ko,M0000016138938,,,,A000000173589,사실 여름철에 이거 하나만 발라도 얼굴이 당기지 않고 수분&영양까지 보충되니 너무 좋습니다,10,2024.09.17
